City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
292,zmeinogorsk,51.1567,82.195,297.7,37,97,1.74,RU
293,aldinga beach,-35.2793,138.4604,290.74,62,94,6.51,AU
294,mokhsogollokh,61.4681,128.9203,295.52,43,100,1.56,RU
295,nosy varika,-20.5833,48.5333,290.96,72,99,3.46,MG
296,fernie,49.5,-115.0687,294.2,36,3,2.88,CA
297,rijau,11.103,5.2507,297.86,80,100,1.68,NG
298,cerro azul,21.2,-97.7333,297.08,91,100,1.2,MX
299,kingston,17.997,-76.7936,302.17,84,92,1.69,JM
300,east london,-33.0153,27.9116,290.79,70,98,3.79,ZA
301,nantucket,41.2835,-70.0995,297.04,98,0,4.63,US
302,pimenta bueno,-11.6725,-61.1936,297.03,47,40,0.73,BR
303,grants,35.1473,-107.8514,297.28,29,40,11.32,US
304,arkalyk,50.2486,66.9114,293.54,65,52,4.09,KZ
305,enewetak,11.3474,162.3373,301.67,77,100,5.79,MH
306,peniche,39.3558,-9.3811,292.75,84,97,7.93,PT
307,joshimath,30.5667,79.5667,296.0,87,99,1.22,IN
308,porbandar,21.6422,69.6093,300.97,84,100,7.84,IN
309,farap,39.1704,63.6116,308.36,19,0,5.8,TM
310,ratnagiri,16.9833,73.3,298.39,93,100,5.98,IN
311,reggane,26.7158,0.1714,310.72,15,23,2.1,DZ
312,padang,-0.9492,100.3543,302.18,65,91,1.08,ID
313,bondo,3.8146,23.6866,293.72,98,100,0.96,CD
314,villa la angostura,-40.7617,-71.6463,275.89,97,99,1.54,AR
315,karlovo,42.6333,24.8,292.82,81,100,3.38,BG
316,verkhnevilyuysk,63.4453,120.3167,293.39,39,100,2.24,RU
317,port de pollenca,39.9075,3.0814,296.64,74,0,2.16,ES
318,saipan,15.1355,145.701,301.54,100,75,5.14,MP
319,varna,43.2167,27.9167,294.23,78,71,5.14,BG
320,nova vicosa,-17.8919,-39.3719,294.44,78,5,1.93,BR
321,fallon,39.4735,-118.7774,306.08,16,40,5.66,US
322,zhongshu,24.5167,103.7667,296.98,75,42,1.86,CN
323,la'ie,21.6477,-157.9253,304.13,76,15,7.44,US
324,minot air force base,48.4209,-101.3391,299.25,64,0,2.06,US
325,aykhal,66.0,111.5,289.72,58,100,2.94,RU
326,yahyali,38.1023,35.357,292.62,27,0,0.51,TR
327,duck lake,52.8168,-106.2344,291.38,52,82,4.87,CA
328,canico,32.6333,-16.85,294.66,78,20,2.57,PT
329,astaneh-ye ashrafiyeh,37.2596,49.9444,295.11,80,33,0.19,IR
330,anloga,5.7947,0.8973,297.75,92,66,4.06,GH
331,den burg,53.0542,4.7972,289.24,98,100,3.6,NL
332,frolovo,49.7713,43.6622,297.05,48,1,2.71,RU
333,juneau,58.3019,-134.4197,290.15,100,75,2.57,US
334,gumdag,39.2061,54.5906,299.42,63,26,4.25,TM
335,safaga,26.7292,33.9365,303.78,54,99,4.94,EG
336,garoowe,8.4054,48.4845,295.58,70,38,11.72,SO
337,horta,38.5333,-28.6333,295.38,96,59,4.02,PT
338,kurumkan,54.3,110.3,295.44,67,100,2.38,RU
339,taguatinga,-12.3857,-46.5711,295.27,38,47,2.15,BR
340,ust'-kulom,61.6864,53.6902,289.5,68,98,2.2,RU
341,selebi-phikwe,-21.979,27.8498,284.3,78,2,1.96,BW
342,sandnessjoen,66.0217,12.6316,287.27,94,75,3.09,NO
343,chumphon,10.3333,98.8333,299.14,87,90,4.04,TH
344,robertsport,6.7533,-11.3686,297.99,87,83,1.67,LR
345,kapuskasing,49.4169,-82.4331,290.2,94,75,1.03,CA
